# E (eV)   doscond(E)
   -2.414414414    0.369748642
   -2.405405405    0.369687162
   -2.396396396    0.369631533
   -2.387387387    0.369581892
   -2.378378378    0.369538380
   -2.369369369    0.369501145
   -2.360360360    0.369470338
   -2.351351351    0.369446118
   -2.342342342    0.369428650
   -2.333333333    0.369418102
   -2.324324324    0.369414652
   -2.315315315    0.369418484
   -2.306306306    0.369429786
   -2.297297297    0.369448757
   -2.288288288    0.369475601
   -2.279279279    0.369510530
   -2.270270270    0.369553765
   -2.261261261    0.369605534
   -2.252252252    0.369666074
   -2.243243243    0.369735632
   -2.234234234    0.369814464
   -2.225225225    0.369902834
   -2.216216216    0.370001020
   -2.207207207    0.370109307
   -2.198198198    0.370227993
   -2.189189189    0.370357387
   -2.180180180    0.370497810
   -2.171171171    0.370649596
   -2.162162162    0.370813093
   -2.153153153    0.370988662
   -2.144144144    0.371176678
   -2.135135135    0.371377532
   -2.126126126    0.371591632
   -2.117117117    0.371819401
   -2.108108108    0.372061279
   -2.099099099    0.372317728
   -2.090090090    0.372589225
   -2.081081081    0.372876270
   -2.072072072    0.373179383
   -2.063063063    0.373499110
   -2.054054054    0.373836015
   -2.045045045    0.374190692
   -2.036036036    0.374563759
   -2.027027027    0.374955863
   -2.018018018    0.375367679
   -2.009009009    0.375799914
   -2.000000000    0.376253309
   -1.990990991    0.376728638
   -1.981981982    0.377226712
   -1.972972973    0.377748383
   -1.963963964    0.378294544
   -1.954954955    0.378866129
   -1.945945946    0.379464123
   -1.936936937    0.380089559
   -1.927927928    0.380743523
   -1.918918919    0.381427157
   -1.909909910    0.382141666
   -1.900900901    0.382888315
   -1.891891892    0.383668442
   -1.882882883    0.384483457
   -1.873873874    0.385334848
   -1.864864865    0.386224189
   -1.855855856    0.387153144
   -1.846846847    0.388123474
   -1.837837838    0.389137045
   -1.828828829    0.390195838
   -1.819819820    0.391301952
   -1.810810811    0.392457621
   -1.801801802    0.393665218
   -1.792792793    0.394927272
   -1.783783784    0.396246478
   -1.774774775    0.397625712
   -1.765765766    0.399068047
   -1.756756757    0.400576769
   -1.747747748    0.402155399
   -1.738738739    0.403807713
   -1.729729730    0.405537766
   -1.720720721    0.407349919
   -1.711711712    0.409248871
   -1.702702703    0.411239689
   -1.693693694    0.413327850
   -1.684684685    0.415519281
   -1.675675676    0.417820410
   -1.666666667    0.420238220
   -1.657657658    0.422780309
   -1.648648649    0.425454968
   -1.639639640    0.428271256
   -1.630630631    0.431239097
   -1.621621622    0.434369391
   -1.612612613    0.437674132
   -1.603603604    0.441166561
   -1.594594595    0.444861332
   -1.585585586    0.448774711
   -1.576576577    0.452924810
   -1.567567568    0.457331865
   -1.558558559    0.462018563
   -1.549549550    0.467010433
   -1.540540541    0.472336323
   -1.531531532    0.478028970
   -1.522522523    0.484125693
   -1.513513514    0.490669252
   -1.504504505    0.497708905
   -1.495495495    0.505301723
   -1.486486486    0.513514257
   -1.477477477    0.522424642
   -1.468468468    0.532125323
   -1.459459459    0.542726582
   -1.450450450    0.554361201
   -1.441441441    0.567190704
   -1.432432432    0.581413838
   -1.423423423    0.597278336
   -1.414414414    0.615097538
   -1.405405405    0.635274475
   -1.396396396    0.658337678
   -1.387387387    0.684996147
   -1.378378378    0.716226862
   -1.369369369    0.753420372
   -1.360360360    0.798636186
   -1.351351351    0.855081482
   -1.342342342    0.928087499
   -1.333333333    1.027338505
   -1.324324324    1.172835540
   -1.315315315    1.415288217
   -1.306306306    1.945867956
   -1.297297297    6.103402581
   -1.288288288    0.064025465
   -1.279279279    0.021626557
   -1.270270270    0.011776598
   -1.261261261    0.007751893
   -1.252252252    0.005656239
   -1.243243243    0.004404455
   -1.234234234    0.003587352
   -1.225225225    0.003019824
   -1.216216216    0.002607170
   -1.207207207    0.002296414
   -1.198198198    0.002055839
   -1.189189189    0.001865416
   -1.180180180    0.001711933
   -1.171171171    0.001586362
   -1.162162162    0.001482343
   -1.153153153    0.001395282
   -1.144144144    0.001321786
   -1.135135135    0.001259299
   -1.126126126    0.001205865
   -1.117117117    0.001159966
   -1.108108108    0.001120404
   -1.099099099    0.001086228
   -1.090090090    0.001056669
   -1.081081081    0.001031106
   -1.072072072    0.001009027
   -1.063063063    0.000990014
   -1.054054054    0.000973714
   -1.045045045    0.000959838
   -1.036036036    0.000948139
   -1.027027027    0.000938413
   -1.018018018    0.000930484
   -1.009009009    0.000924205
   -1.000000000    0.000919451
   -0.990990991    0.000916115
   -0.981981982    0.000914107
   -0.972972973    0.000913353
   -0.963963964    0.000913788
   -0.954954955    0.000915358
   -0.945945946    0.000918021
   -0.936936937    0.000921741
   -0.927927928    0.000926490
   -0.918918919    0.000932247
   -0.909909910    0.000938999
   -0.900900901    0.000946735
   -0.891891892    0.000955453
   -0.882882883    0.000965155
   -0.873873874    0.000975847
   -0.864864865    0.000987543
   -0.855855856    0.001000258
   -0.846846847    0.001014015
   -0.837837838    0.001028840
   -0.828828829    0.001044766
   -0.819819820    0.001061828
   -0.810810811    0.001080071
   -0.801801802    0.001099542
   -0.792792793    0.001120296
   -0.783783784    0.001142393
   -0.774774775    0.001165902
   -0.765765766    0.001190899
   -0.756756757    0.001217467
   -0.747747748    0.001245700
   -0.738738739    0.001275701
   -0.729729730    0.001307585
   -0.720720721    0.001341478
   -0.711711712    0.001377520
   -0.702702703    0.001415867
   -0.693693694    0.001456693
   -0.684684685    0.001500188
   -0.675675676    0.001546566
   -0.666666667    0.001596068
   -0.657657658    0.001648958
   -0.648648649    0.001705537
   -0.639639640    0.001766139
   -0.630630631    0.001831143
   -0.621621622    0.001900974
   -0.612612613    0.001976117
   -0.603603604    0.002057121
   -0.594594595    0.002144611
   -0.585585586    0.002239304
   -0.576576577    0.002342025
   -0.567567568    0.002453722
   -0.558558559    0.002575500
   -0.549549550    0.002708640
   -0.540540541    0.002854648
   -0.531531532    0.003015294
   -0.522522523    0.003192678
   -0.513513514    0.003389303
   -0.504504505    0.003608178
   -0.495495495    0.003852947
   -0.486486486    0.004128057
   -0.477477477    0.004438992
   -0.468468468    0.004792578
   -0.459459459    0.005197410
   -0.450450450    0.005664444
   -0.441441441    0.006207843
   -0.432432432    0.006846199
   -0.423423423    0.007604354
   -0.414414414    0.008516167
   -0.405405405    0.009628867
   -0.396396396    0.011010114
   -0.387387387    0.012759932
   -0.378378378    0.015031868
   -0.369369369    0.018072653
   -0.360360360    0.022302005
   -0.351351351    0.028487935
   -0.342342342    0.038179097
   -0.333333333    0.054954579
   -0.324324324    0.088998460
   -0.315315315    0.182160232
   -0.306306306    0.781809238
   -0.297297297   26.140003987
   -0.288288288   12.107744189
   -0.279279279    9.062886384
   -0.270270270    7.529815366
   -0.261261261    6.563766377
   -0.252252252    5.883288672
   -0.243243243    5.370617630
   -0.234234234    4.966542763
   -0.225225225    4.637576414
   -0.216216216    4.363149610
   -0.207207207    4.129829157
   -0.198198198    3.928415457
   -0.189189189    3.752364895
   -0.180180180    3.596876633
   -0.171171171    3.458336407
   -0.162162162    3.333963225
   -0.153153153    3.221576858
   -0.144144144    3.119440131
   -0.135135135    3.026149125
   -0.126126126    2.940554968
   -0.117117117    2.861707000
   -0.108108108    2.788810730
   -0.099099099    2.721196227
   -0.090090090    2.658294031
   -0.081081081    2.599616535
   -0.072072072    2.544743449
   -0.063063063    2.493310305
   -0.054054054    2.444999306
   -0.045045045    2.399531951
   -0.036036036    2.356663065
   -0.027027027    2.316175913
   -0.018018018    2.277878194
   -0.009009009    2.241598723
    0.000000000    2.207184675
    0.009009009    2.174499296
    0.018018018    2.143419981
    0.027027027    2.113836677
    0.036036036    2.085650548
    0.045045045    2.058772871
    0.054054054    2.033124129
    0.063063063    2.008633293
    0.072072072    1.985237265
    0.081081081    1.962880491
    0.090090090    1.941514738
    0.099099099    1.921099049
    0.108108108    1.901599909
    0.117117117    1.882991644
