90	 31.61698	 30.97555	-1.45283	-1.47383	-0.09266	-0.05497	-1.03728	-1.06589	 0.51458	 0.62674	 0.34515	 0.35434	
91	 31.86505	 31.28456	-1.70813	-1.72745	-0.03381	 0.01546	-1.13113	-1.15030	 0.72353	 0.81941	 0.41076	 0.42033	
92	 31.82423	 31.30422	-1.95605	-1.97374	 0.02507	 0.08556	-1.22602	-1.23618	 0.92486	 1.00601	 0.47294	 0.48287	
93	 31.50266	 31.04211	-2.19440	-2.21048	 0.08329	 0.15431	-1.32196	-1.32409	 1.11570	 1.18360	 0.53078	 0.54101	
94	 30.91147	 30.50884	-2.42110	-2.43560	 0.14022	 0.22070	-1.41895	-1.41452	 1.29324	 1.34931	 0.58340	 0.59383	
95	 30.06454	 29.71778	-2.63426	-2.64719	 0.19529	 0.28369	-1.51694	-1.50778	 1.45484	 1.50041	 0.62997	 0.64048	
96	 28.97828	 28.68486	-2.83211	-2.84349	 0.24799	 0.34225	-1.61592	-1.60399	 1.59802	 1.63436	 0.66972	 0.68015	
97	 27.67136	 27.42830	-3.01314	-3.02297	 0.29790	 0.39536	-1.71585	-1.70304	 1.72053	 1.74884	 0.70197	 0.71212	
98	 26.04083	 25.84824	-3.18773	-3.19589	 0.34811	 0.44536	-1.82448	-1.81250	 1.82710	 1.84801	 0.72760	 0.73719	
99	 24.34351	 24.19386	-3.32976	-3.33639	 0.39115	 0.48411	-1.92618	-1.91617	 1.90071	 1.91585	 0.74241	 0.75121	
100	 22.49413	 22.38328	-3.45154	-3.45666	 0.43046	 0.51466	-2.02849	-2.02109	 1.94854	 1.95890	 0.74815	 0.75587	
101	 20.51762	 20.44108	-3.55240	-3.55608	 0.46576	 0.53636	-2.13108	-2.12642	 1.96963	 1.97615	 0.74454	 0.75087	
102	 18.43972	 18.39255	-3.63192	-3.63423	 0.49675	 0.54873	-2.23349	-2.23122	 1.96338	 1.96693	 0.73140	 0.73600	
103	 16.28691	 16.26317	-3.68986	-3.69093	 0.52302	 0.55155	-2.33507	-2.33447	 1.92960	 1.93103	 0.70870	 0.71122	
104	 14.08766	 14.07674	-3.72511	-3.72732	 0.54401	 0.54491	-2.43517	-2.43495	 1.86835	 1.86876	 0.67634	 0.67677	
105	 11.85147	 11.87570	-3.74114	-3.74034	 0.55930	 0.52891	-2.53253	-2.53181	 1.78080	 1.78015	 0.63507	 0.63232	
106	 9.45646	 9.49306	-3.73368	-3.73233	 0.56833	 0.50210	-2.63346	-2.63024	 1.65763	 1.65709	 0.58047	 0.57425	
107	 7.24611	 7.32062	-3.70548	-3.70397	 0.56903	 0.46903	-2.72219	-2.71489	 1.51822	 1.51843	 0.52102	 0.51119	
108	 5.17691	 5.10732	-3.65746	-3.65622	 0.56154	 0.42906	-2.80480	-2.79164	 1.35658	 1.35815	 0.45377	 0.43996	
109	 3.14645	 3.00046	-3.59046	-3.58995	 0.54514	 0.38314	-2.87997	-2.85904	 1.17491	 1.17842	 0.37942	 0.36127	
110	 1.16167	 1.03497	-3.50540	-3.50613	 0.51929	 0.33225	-2.94630	-2.91565	 0.97578	 0.98174	 0.29881	 0.27598	
111	-0.75715	-0.77094	-3.40330	-3.40581	 0.48366	 0.27726	-3.00237	-2.96000	 0.76201	 0.77092	 0.21287	 0.18504	
