# E (eV)   conductance(E)
   -0.405405405    0.000007504
   -0.396396396    0.000013337
   -0.387387387    0.000026802
   -0.378378378    0.000066365
   -0.369369369    0.000258689
   -0.360360360    0.008414152
   -0.351351351    0.985066776
   -0.342342342    1.959520044
   -0.333333333    1.971496971
   -0.324324324    1.976469567
   -0.315315315    1.979430559
   -0.306306306    1.981463501
   -0.297297297    1.982975404
   -0.288288288    1.984159947
   -0.279279279    1.985122996
   -0.270270270    1.985928037
   -0.261261261    1.986615761
   -0.252252252    1.987213605
   -0.243243243    1.987740806
   -0.234234234    1.988211294
   -0.225225225    1.988635419
   -0.216216216    1.989021042
   -0.207207207    1.989374246
   -0.198198198    1.989699811
   -0.189189189    1.990001551
   -0.180180180    1.990282542
   -0.171171171    1.990545299
   -0.162162162    1.990791891
   -0.153153153    1.991024046
   -0.144144144    1.991243212
   -0.135135135    1.991450615
   -0.126126126    1.991647303
   -0.117117117    1.991834176
   -0.108108108    1.992012015
   -0.099099099    1.992181499
   -0.090090090    1.992343225
   -0.081081081    1.992497718
   -0.072072072    1.992645447
   -0.063063063    1.992786827
   -0.054054054    1.992922231
   -0.045045045    1.993051996
   -0.036036036    1.993176425
   -0.027027027    1.993295790
   -0.018018018    1.993410341
   -0.009009009    1.993520302
    0.000000000    1.993625876
    0.009009009    1.993727246
    0.018018018    1.993824578
    0.027027027    1.993918017
    0.036036036    1.994007693
    0.045045045    1.994093713
    0.054054054    1.994176171
    0.063063063    1.994255134
    0.072072072    1.994330652
    0.081081081    1.994402744
    0.090090090    1.994471401
    0.099099099    1.994536575
    0.108108108    1.994598173
    0.117117117    1.994656042
    0.126126126    1.994709951
    0.135135135    1.994759562
    0.144144144    1.994804396
    0.153153153    1.994843763
    0.162162162    1.994876677
    0.171171171    1.994901692
    0.180180180    1.994916645
    0.189189189    1.994918190
    0.198198198    1.994900915
    0.207207207    1.994855516
    0.216216216    1.994764597
    0.225225225    1.994591327
    0.234234234    1.994240144
    0.243243243    1.993340047
    0.252252252    1.986095985
    0.261261261    0.997652901
    0.270270270    0.048703544
    0.279279279    0.000962723
    0.288288288    0.000423427
    0.297297297    0.000309773
    0.306306306    0.000299246
    0.315315315    0.000376781
    0.324324324    0.000730506
    0.333333333    0.007640742
    0.342342342    0.995347810
    0.351351351    1.010563199
    0.360360360    1.992128692
    0.369369369    1.994412821
    0.378378378    1.995045114
    0.387387387    1.995364845
    0.396396396    1.995564652
    0.405405405    1.995704534
    0.414414414    1.995809875
    0.423423423    1.995893396
    0.432432432    1.995962207
    0.441441441    1.996020598
    0.450450450    1.996071309
    0.459459459    1.996116174
    0.468468468    1.996156462
    0.477477477    1.996193081
    0.486486486    1.996226698
    0.495495495    1.996257810
    0.504504505    1.996286799
    0.513513514    1.996313960
    0.522522523    1.996339529
    0.531531532    1.996363691
    0.540540541    1.996386600
    0.549549550    1.996408378
    0.558558559    1.996429130
    0.567567568    1.996448942
    0.576576577    1.996467886
    0.585585586    1.996486024
    0.594594595    1.996503411
    0.603603604    1.996520092
    0.612612613    1.996536107
    0.621621622    1.996551492
    0.630630631    1.996566277
    0.639639640    1.996580491
    0.648648649    1.996594156
    0.657657658    1.996607297
    0.666666667    1.996619931
    0.675675676    1.996632076
    0.684684685    1.996643750
    0.693693694    1.996654966
    0.702702703    1.996665737
    0.711711712    1.996676076
    0.720720721    1.996685994
    0.729729730    1.996695500
    0.738738739    1.996704605
    0.747747748    1.996713316
    0.756756757    1.996721642
    0.765765766    1.996729589
    0.774774775    1.996737165
    0.783783784    1.996744375
    0.792792793    1.996751225
    0.801801802    1.996757720
    0.810810811    1.996763865
    0.819819820    1.996769666
    0.828828829    1.996775124
    0.837837838    1.996780246
    0.846846847    1.996785033
    0.855855856    1.996789490
    0.864864865    1.996793620
    0.873873874    1.996797425
    0.882882883    1.996800910
    0.891891892    1.996804077
    0.900900901    1.996806930
    0.909909910    1.996809473
    0.918918919    1.996811711
    0.927927928    1.996813649
    0.936936937    1.996815296
    0.945945946    1.996816662
    0.954954955    1.996817761
    0.963963964    1.996818615
    0.972972973    1.996819257
    0.981981982    1.996819737
    0.990990991    1.996820136
    1.000000000    1.996820590
    1.009009009    1.996821345
    1.018018018    1.996822868
    1.027027027    1.996826142
    1.036036036    1.996833498
    1.045045045    1.996851570
    1.054054054    1.996905505
    1.063063063    1.997161950
    1.072072072    2.006309307
    1.081081081    2.986984888
    1.090090090    2.990980387
    1.099099099    2.992203661
    1.108108108    2.992847334
    1.117117117    2.993256642
    1.126126126    2.993543686
    1.135135135    2.993757335
    1.144144144    2.993922772
    1.153153153    2.994054466
    1.162162162    2.994161400
    1.171171171    2.994249483
    1.180180180    2.994322777
    1.189189189    2.994384180
    1.198198198    2.994435816
    1.207207207    2.994479284
    1.216216216    2.994515807
    1.225225225    2.994546341
    1.234234234    2.994571642
    1.243243243    2.994592314
    1.252252252    2.994608845
    1.261261261    2.994621635
    1.270270270    2.994631009
    1.279279279    2.994637236
    1.288288288    2.994640539
    1.297297297    2.994641100
    1.306306306    2.994639070
    1.315315315    2.994634574
    1.324324324    2.994627711
    1.333333333    2.994618562
    1.342342342    2.994607190
    1.351351351    2.994593642
    1.360360360    2.994577950
    1.369369369    2.994560134
    1.378378378    2.994540203
    1.387387387    2.994518153
    1.396396396    2.994493969
    1.405405405    2.994467628
    1.414414414    2.994439093
    1.423423423    2.994408319
    1.432432432    2.994375249
    1.441441441    2.994339817
    1.450450450    2.994301943
    1.459459459    2.994261536
    1.468468468    2.994218491
    1.477477477    2.994172691
    1.486486486    2.994124000
    1.495495495    2.994072269
    1.504504505    2.994017328
    1.513513514    2.993958984
    1.522522523    2.993897024
    1.531531532    2.993831205
    1.540540541    2.993761255
    1.549549550    2.993686865
    1.558558559    2.993607685
    1.567567568    2.993523320
    1.576576577    2.993433314
    1.585585586    2.993337147
    1.594594595    2.993234220
    1.603603604    2.993123836
    1.612612613    2.993005183
    1.621621622    2.992877304
    1.630630631    2.992739068
    1.639639640    2.992589116
    1.648648649    2.992425807
    1.657657658    2.992247128
    1.666666667    2.992050581
    1.675675676    2.991833013
    1.684684685    2.991590372
    1.693693694    2.991317333
    1.702702703    2.991006725
    1.711711712    2.990648580
    1.720720721    2.990228525
    1.729729730    2.989724834
    1.738738739    2.989102637
    1.747747748    2.988301269
    1.756756757    2.987202351
    1.765765766    2.985529108
    1.774774775    2.982366919
    1.783783784    2.967722470
    1.792792793    1.988078769
    1.801801802    2.786161215
    1.810810811    0.994801970
    1.819819820    1.928449915
    1.828828829    3.110912807
    1.837837838    2.247812419
    1.846846847    3.843983744
    1.855855856    2.932963813
    1.864864865    2.962143251
    1.873873874    4.678965415
    1.882882883    4.916010085
    1.891891892    5.881233723
    1.900900901    4.899613492
    1.909909910    3.926766500
    1.918918919    1.974824608
    1.927927928    2.916617957
    1.936936937    0.968150943
    1.945945946    0.005863944
    1.954954955    0.000438672
    1.963963964    0.000155567
    1.972972973    0.000077813
    1.981981982    0.000045576
    1.990990991    0.000029287
    2.000000000    0.000020022
