    44    -9.32605086    -9.32605077    -4.66114938    -4.66017312    -3.83987969    -3.83945726    -2.92057488    -2.91989781    -2.03088163    -2.03079597    -1.21462907    -1.21382075     5.53253444     5.53258644     5.55606032     5.55606195     5.61858987     5.61863929
    45    -9.26769168    -9.26769156    -4.68176158    -4.68090645    -3.82365695    -3.82301238    -2.90033472    -2.89943002    -2.04881694    -2.04867931    -1.20292241    -1.20218874     5.53321106     5.53327189     5.55457643     5.55457858     5.60450786     5.60456561
    46    -9.20934876    -9.20934861    -4.70278484    -4.70205931    -3.80739263    -3.80659834    -2.87943594    -2.87838085    -2.06632316    -2.06614377    -1.19096983    -1.19032471     5.53394498     5.53401530     5.55286428     5.55286717     5.59113972     5.59120629
    47    -9.15123199    -9.15123182    -4.72419746    -4.72360597    -3.79111244    -3.79024784    -2.85787605    -2.85675751    -2.08333067    -2.08312355    -1.17877494    -1.17822935     5.53469497     5.53477538     5.55089670     5.55090069     5.57878194     5.57885763
    48    -9.09349133    -9.09349114    -4.74597819    -4.74552097    -3.77484517    -3.77399354    -2.83565438    -2.83456617    -2.09976766    -2.09955079    -1.16634164    -1.16590333     5.53542065     5.53551175     5.54866332     5.54866906     5.56765897     5.56774372
    49    -9.03622203    -9.03622185    -4.76810643    -4.76777943    -3.75862270    -3.75786801    -2.81277228    -2.81181197    -2.11556031    -2.11535560    -1.15367410    -1.15334737     5.53608525     5.53618769     5.54617239     5.54618128     5.55792234     5.55801544
    50    -8.97947143    -8.97947127    -4.79056237    -4.79035743    -3.74247996    -3.74190368    -2.78923326    -2.78849908    -2.13063289    -2.13046606    -1.14077669    -1.14056238     5.53665747     5.53677244     5.54345031     5.54346608     5.54965402     5.54975293
    51    -8.92324663    -8.92324654    -4.81332712    -4.81323227    -3.72645460    -3.72613267    -2.76504307    -2.76463079    -2.14490807    -2.14480843    -1.12765388    -1.12754950     5.53710901     5.53724088     5.54053416     5.54057247     5.54288005     5.54297348
    52    -8.86752295    -8.86752295    -4.83638280    -4.83638280    -3.71058664    -3.71058664    -2.74020969    -2.74020969    -2.15830726    -2.15830726    -1.11431023    -1.11431023     5.53712858     5.53712858     5.53767414     5.53767414     5.53781951     5.53781951
    53    -8.81225249    -8.81225234    -4.85978958    -4.85971261    -3.69529655    -3.69491784    -2.71523775    -2.71474329    -2.17088578    -2.17075105    -1.10084646    -1.10075026     5.53336498     5.53353914     5.53449021     5.53454859     5.53772705     5.53784273
    54    -8.75737209    -8.75737174    -4.88343513    -4.88330093    -3.68029225    -3.67949090    -2.68971656    -2.68865615    -2.18246621    -2.18215977    -1.08716053    -1.08697844     5.53052499     5.53070854     5.53148656     5.53154066     5.53781994     5.53794924
    55    -8.70281138    -8.70281077    -4.90730399    -4.90713330    -3.66560207    -3.66434855    -2.66364747    -2.66196252    -2.19297037    -2.19245426    -1.07325523    -1.07299908     5.52836478     5.52846783     5.52901366     5.52904486     5.53782828     5.53796238
    56    -8.64849966    -8.64849872    -4.93138280    -4.93119644    -3.65125224    -3.64953238    -2.63703179    -2.63467838    -2.20232029    -2.20155668    -1.05913383    -1.05881636     5.52581195     5.52582976     5.52794991     5.52806544     5.53777204     5.53790529
    57    -8.59437181    -8.59437045    -4.95566025    -4.95547823    -3.63726620    -3.63508158    -2.60987097    -2.60682130    -2.21043900    -2.20939151    -1.04480004    -1.04443423     5.52342294     5.52342918     5.52769151     5.52781155     5.53768047     5.53780676
    58    -8.54037310    -8.54037125    -4.98012702    -4.97996768    -3.62366377    -3.62103152    -2.58216674    -2.57841011    -2.21725145    -2.21588658    -1.03025795    -1.02985643     5.52137321     5.52137588     5.52795908     5.52806871     5.53758316     5.53769562
