Theta(deg) =   0.000000 , Phi(deg) =   0.000000 , Number of orbits =     7 , (Angstrom^-1) units
Slice   =    186 , Freq(kT, average of all copies)              =   0.3115
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3142
Points  =     43
  1.147769E+01  8.194544E+00  2.824529E+00
  1.150601E+01  8.199799E+00  2.824529E+00
  1.151877E+01  8.189560E+00  2.824529E+00
  1.153434E+01  8.179383E+00  2.824529E+00
  1.155425E+01  8.161236E+00  2.824529E+00
  1.156266E+01  8.153791E+00  2.824529E+00
  1.159098E+01  8.150970E+00  2.824529E+00
  1.161846E+01  8.132913E+00  2.824529E+00
  1.161931E+01  8.132437E+00  2.824529E+00
  1.164763E+01  8.107024E+00  2.824529E+00
  1.167595E+01  8.108074E+00  2.824529E+00
  1.168219E+01  8.104590E+00  2.824529E+00
  1.170427E+01  8.094347E+00  2.824529E+00
  1.172726E+01  8.076267E+00  2.824529E+00
  1.173260E+01  8.071907E+00  2.824529E+00
  1.174126E+01  8.076267E+00  2.824529E+00
  1.176092E+01  8.087298E+00  2.824529E+00
  1.178624E+01  8.076267E+00  2.824529E+00
  1.178924E+01  8.075155E+00  2.824529E+00
  1.181757E+01  8.056946E+00  2.824529E+00
  1.184491E+01  8.076267E+00  2.824529E+00
  1.184589E+01  8.078267E+00  2.824529E+00
  1.187421E+01  8.087686E+00  2.824529E+00
  1.188662E+01  8.104590E+00  2.824529E+00
  1.190254E+01  8.130987E+00  2.824529E+00
  1.190288E+01  8.132913E+00  2.824529E+00
  1.190254E+01  8.133141E+00  2.824529E+00
Theta(deg) =   0.000000 , Phi(deg) =   2.500000 , Number of orbits =     6 , (Angstrom^-1) units
Slice   =    104 , Freq(kT, average of all copies)              =   0.3432
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3525
Points  =     47
  kx            ky            kz
  1.114453E+01  8.047813E+00 -2.070162E+00
  1.112655E+01  8.074180E+00 -2.069376E+00
  1.112879E+01  8.102503E+00 -2.069474E+00
  1.112231E+01  8.130826E+00 -2.069191E+00
  1.111732E+01  8.159149E+00 -2.068973E+00
  1.111624E+01  8.163578E+00 -2.068926E+00
  1.110913E+01  8.187472E+00 -2.068616E+00
  1.109526E+01  8.215795E+00 -2.068010E+00
  1.109540E+01  8.244119E+00 -2.068016E+00
  1.108794E+01  8.255313E+00 -2.067691E+00
  1.107697E+01  8.272442E+00 -2.067212E+00
  1.106826E+01  8.300765E+00 -2.066831E+00
  1.106280E+01  8.329088E+00 -2.066593E+00
  1.105964E+01  8.334681E+00 -2.066455E+00
  1.103880E+01  8.357411E+00 -2.065545E+00
  1.103135E+01  8.376040E+00 -2.065220E+00
  1.102501E+01  8.385734E+00 -2.064943E+00
